City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,afaahiti,-17.75,-149.2833,71.47,64,13,18.75,PF,1689923085
336,ridgecrest,35.6225,-117.6709,86.68,19,14,5.7,US,1689923085
337,gurupa,-1.405,-51.64,72.12,97,3,2.37,BR,1689923047
338,cheadle,52.9833,-1.9833,55.99,71,97,8.84,GB,1689923085
339,chingirlau,51.095,54.0814,76.37,35,9,11.07,KZ,1689923085
340,ghadamis,30.1337,9.5007,94.21,13,0,9.28,LY,1689923086
341,tazovsky,67.4667,78.7,76.89,40,98,14.03,RU,1689923086
342,yatou,37.15,122.3833,82.33,67,100,13.51,CN,1689923086
343,kapuskasing,49.4169,-82.4331,53.69,93,40,3.44,CA,1689922994
344,port alfred,-33.5906,26.891,54.18,72,68,5.01,ZA,1689923086
345,cancun,21.1743,-86.8466,82.33,89,40,4.61,MX,1689922966
346,tralee,52.2704,-9.7026,56.39,88,100,5.77,IE,1689923087
347,minas de marcona,-15.2119,-75.1103,55.33,84,0,4.32,PE,1689923087
348,thohoyandou,-22.9456,30.485,50.32,93,100,5.91,ZA,1689923087
349,severo-yeniseyskiy,60.3725,93.0408,80.2,26,96,9.55,RU,1689923088
350,praia da vitoria,38.7333,-27.0667,70.75,94,20,4.63,PT,1689923088
351,hailey,43.5196,-114.3153,62.46,57,0,4.61,US,1689923088
352,new norfolk,-42.7826,147.0587,51.3,79,55,2.91,AU,1689923088
353,kununurra,-15.7667,128.7333,87.78,22,0,8.05,AU,1689923089
354,saint-pierre,-21.3393,55.4781,77.58,94,75,12.66,RE,1689923089
355,revda,56.801,59.9303,67.71,59,83,13.2,RU,1689923089
356,broken hill,-31.95,141.4333,54.28,45,0,11.92,AU,1689922952
357,al manzalah,31.1582,31.937,84.11,46,0,3.4,EG,1689923090
358,berwick-upon-tweed,55.7833,-2.0,53.83,85,95,4.97,GB,1689923090
359,sa kaeo,13.75,102.3333,82.85,73,100,8.08,TH,1689922816
360,al mijlad,11.0333,27.7333,84.15,57,78,10.33,SD,1689923090
361,farshut,26.0549,32.1633,101.01,13,0,2.44,EG,1689923090
362,baturaja,-4.1333,104.1667,86.23,57,60,5.37,ID,1689923091
